Date Egg,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex,Delta 15 N (o/oo),Delta 13 C (o/oo),Comments,ID
13.11.09,38.1,17.6,187,3425,FEMALE,8.717,-25.77951,,790444
13.11.09,41.1,17.5,190,3900,MALE,8.94365,-26.06943,,578495
16.11.09,35.6,17.5,191,3175,FEMALE,8.75984,-25.97696,,1153647
16.11.09,40.2,20.1,200,3975,MALE,8.95998,-26.32601,,1016197
16.11.09,37,16.5,185,3400,FEMALE,8.61651,-26.07021,Nest never observed with full clutch.,1134657
16.11.09,39.7,17.9,193,4250,MALE,9.25769,-25.88798,Nest never observed with full clutch.,248967
14.11.09,40.2,17.1,193,3400,FEMALE,9.2881,-25.54976,,785474
14.11.09,40.6,17.2,187,3475,MALE,9.23408,-26.01549,,477738
16.11.09,32.1,15.5,188,3050,FEMALE,8.79787,-26.61075,,967632
16.11.09,40.7,17,190,3725,MALE,9.05674,-25.79529,,81347
16.11.09,37.3,16.8,192,3000,FEMALE,9.06829,-25.85203,,940297
16.11.09,39,18.7,185,3650,MALE,9.22033,-26.03442,,101806
13.11.09,39.2,18.6,190,4250,MALE,9.11006,-25.79549,,235636
13.11.09,36.6,18.4,184,3475,FEMALE,8.68744,-25.8306,,306505
17.11.09,36,17.8,195,3450,FEMALE,8.94332,-25.79189,,736315
17.11.09,37.8,18.1,193,3750,MALE,8.97533,-26.03495,,931613
17.11.09,36,17.1,187,3700,FEMALE,8.93465,-26.07081,,418088
17.11.09,41.5,18.5,201,4000,MALE,8.8964,-26.06967,,352373
27.11.07,46.1,13.2,211,4500,FEMALE,7.993,-25.5139,,655997
27.11.07,50,16.3,230,5700,MALE,8.14756,-25.39369,,997428
27.11.07,48.7,14.1,210,4450,FEMALE,8.14705,-25.46172,,632226
27.11.07,50,15.2,218,5700,MALE,8.2554,-25.40075,,742972
18.11.07,47.6,14.5,215,5400,MALE,8.2345,-25.54456,,486361
18.11.07,46.5,13.5,210,4550,FEMALE,7.9953,-25.32829,,987973
27.11.07,45.4,14.6,211,4800,FEMALE,8.24515,-25.46782,,1198126
27.11.07,46.7,15.3,219,5200,MALE,8.22673,-25.4276,,1228885
27.11.07,43.3,13.4,209,4400,FEMALE,8.13643,-25.32176,,429834
27.11.07,46.8,15.4,215,5150,MALE,8.1631,-25.38017,,893302
27.11.07,40.9,13.7,214,4650,FEMALE,8.19579,-25.3933,Nest never observed with full clutch.,358995
27.11.07,49,16.1,216,5550,MALE,8.10417,-25.50562,Nest never observed with full clutch.,771564
29.11.07,45.5,13.7,214,4650,FEMALE,7.77672,-25.4168,,928827
29.11.07,48.4,14.6,213,5850,MALE,7.8208,-25.48025,,456092
03.12.07,45.8,14.6,210,4200,FEMALE,7.79958,-25.62618,,1103
03.12.07,49.3,15.7,217,5850,MALE,8.07137,-25.52473,,1141747
27.11.07,42,13.5,210,4150,FEMALE,7.63884,-25.52627,,220499
27.11.07,49.2,15.2,221,6300,MALE,8.27376,-25.00169,,322015
27.11.07,46.2,14.5,209,4800,FEMALE,7.84057,-25.37899,,384422
27.11.07,48.7,15.1,222,5350,MALE,7.96491,-25.39587,,402876
27.11.07,50.2,14.3,218,5700,MALE,7.8962,-25.37746,,418815
27.11.07,45.1,14.5,215,5000,FEMALE,7.6322,-25.46569,,691737
27.11.07,46.5,14.5,213,4400,FEMALE,7.90436,-25.3947,,513932
27.11.07,46.3,15.8,215,5050,MALE,7.90971,-25.38157,,301730
29.11.07,42.9,13.1,215,5000,FEMALE,7.68528,-25.39181,,347289
29.11.07,46.1,15.1,215,5100,MALE,7.83733,-25.42826,,1207743
29.11.07,44.5,14.3,216,4100,,7.96621,-25.69327,Sexing primers did not amplify.,616286
29.11.07,47.8,15,215,5650,MALE,7.92358,-25.48383,,726684
29.11.07,48.2,14.3,210,4600,FEMALE,7.6887,-25.50811,,225103
29.11.07,50,15.3,220,5550,MALE,8.30515,-25.19017,,768275
29.11.07,47.3,15.3,222,5250,MALE,,,Not enough blood for isotopes.,1132259
29.11.07,42.8,14.2,209,4700,FEMALE,7.63452,-25.46327,,1218877
03.12.07,45.1,14.5,207,5050,FEMALE,7.97408,-25.53768,,841703
03.12.07,59.6,17,230,6050,MALE,7.76843,-25.6821,,5076
13.11.08,49.1,14.8,220,5150,FEMALE,7.89744,-26.63405,,1001456
13.11.08,48.4,16.3,220,5400,MALE,8.03659,-26.86127,,668783
02.11.08,42.6,13.7,213,4950,FEMALE,7.96935,-26.70968,,476381
02.11.08,44.4,17.3,219,5250,MALE,8.13746,-26.79093,,651129
09.11.08,44,13.6,208,4350,FEMALE,8.01979,-26.68311,,342524
09.11.08,48.7,15.7,208,5350,MALE,8.14776,-26.84506,,280369
04.11.08,42.7,13.7,208,3950,FEMALE,8.14567,-26.59467,Nest never observed with full clutch.,698178
04.11.08,49.6,16,225,5700,MALE,8.38324,-26.84272,Nest never observed with full clutch.,527855
04.11.08,45.3,13.7,210,4300,FEMALE,8.37615,-26.72791,,223115
04.11.08,49.6,15,216,4750,MALE,8.26548,-26.7699,,60947
03.11.08,50.5,15.9,222,5550,MALE,8.46894,-26.60436,,75905
03.11.08,43.6,13.9,217,4900,FEMALE,8.27141,-26.7765,,404323
09.11.08,45.5,13.9,210,4200,FEMALE,8.47829,-26.61788,Nest never observed with full clutch.,1211245
09.11.08,50.5,15.9,225,5400,MALE,8.65803,-26.57585,Nest never observed with full clutch.,294329
02.11.08,44.9,13.3,213,5100,FEMALE,8.45167,-26.89644,,685722
02.11.08,45.2,15.8,215,5300,MALE,8.55868,-26.67799,,1173015
04.11.08,46.6,14.2,210,4850,FEMALE,8.38289,-26.86352,,470730
04.11.08,48.5,14.1,220,5300,MALE,8.39867,-26.79358,,927980
04.11.08,45.1,14.4,210,4400,FEMALE,8.51951,-27.01854,,534347
04.11.08,50.1,15,225,5000,MALE,8.50153,-26.61414,,764951
04.11.08,46.5,14.4,217,4900,FEMALE,8.48789,-26.83006,,386389
04.11.08,45,15.4,220,5050,MALE,8.63488,-26.75621,,211127
03.11.08,43.8,13.9,208,4300,FEMALE,8.58319,-26.84415,,159938
03.11.08,45.5,15,220,5000,MALE,8.63604,-26.7489,,260993
06.11.08,43.2,14.5,208,4450,FEMALE,8.48367,-26.86485,,823840
06.11.08,50.4,15.3,224,5550,MALE,8.74647,-26.79846,,1192946
03.11.08,45.3,13.8,208,4200,FEMALE,8.65015,-26.79053,,715791
03.11.08,46.2,14.9,221,5300,MALE,8.60092,-26.84374,,1063014
13.11.08,45.7,13.9,214,4400,FEMALE,8.6287,-26.60484,,1124079
13.11.08,54.3,15.7,231,5650,MALE,8.49662,-26.84166,,657274
04.11.08,45.8,14.2,219,4700,FEMALE,8.60447,-26.61601,,219441
04.11.08,49.8,16.8,230,5700,MALE,8.47067,-26.69166,,108117
09.11.08,46.2,14.4,214,4650,,8.24253,-26.8154,Sexing primers did not amplify.,60728
09.11.08,49.5,16.2,229,5800,MALE,8.49854,-26.74809,,386912
13.11.08,43.5,14.2,220,4700,FEMALE,8.64931,-26.68867,,398481
13.11.08,50.7,15,223,5550,MALE,8.63551,-26.74249,,307568
03.11.08,47.7,15,216,4750,FEMALE,8.53018,-26.72751,,340031
03.11.08,46.4,15.6,221,5000,MALE,8.35078,-26.70783,,31322
09.11.08,48.2,15.6,221,5100,MALE,8.24651,-26.66958,,1171631
09.11.08,46.5,14.8,217,5200,FEMALE,8.58487,-26.5929,,712910
06.11.08,46.4,15,216,4700,FEMALE,8.47938,-26.9547,,1028698
06.11.08,48.6,16,230,5800,MALE,8.5964,-26.71199,,648207
06.11.08,47.5,14.2,209,4600,FEMALE,8.39299,-26.78733,,770487
06.11.08,51.1,16.3,220,6000,MALE,8.40327,-26.76821,,618653
09.11.08,45.2,13.8,215,4750,FEMALE,8.24694,-26.65359,,237395
09.11.08,45.2,16.4,223,5950,MALE,8.19749,-26.65931,,503752
18.11.09,49.1,14.5,212,4625,FEMALE,8.35802,-26.2766,,22690
18.11.09,52.5,15.6,221,5450,MALE,8.28601,-26.27573,,325689
15.11.09,47.4,14.6,212,4725,FEMALE,8.19101,-26.24369,,790860
15.11.09,50,15.9,224,5350,MALE,8.20042,-26.39677,,496421
22.11.09,44.9,13.8,212,4750,FEMALE,8.11238,-26.20372,,931863
22.11.09,50.8,17.3,228,5600,MALE,8.27428,-26.30019,,940786
20.11.09,43.4,14.4,218,4600,FEMALE,8.23468,-26.18599,,754338
20.11.09,51.3,14.2,218,5300,MALE,8.15426,-26.3433,,689439
25.11.09,47.5,14,212,4875,FEMALE,8.12691,-26.23613,,416717
25.11.09,52.1,17,230,5550,MALE,8.27595,-26.11657,,1193397
25.11.09,47.5,15,218,4950,FEMALE,8.29671,-26.08547,,486746
25.11.09,52.2,17.1,228,5400,MALE,8.36701,-25.89834,,1205437
01.12.09,45.5,14.5,212,4750,FEMALE,8.15566,-26.22848,,280990
01.12.09,49.5,16.1,224,5650,MALE,8.83352,-25.69195,,1026544
27.11.09,44.5,14.7,214,4850,FEMALE,8.20106,-26.16524,,487420
27.11.09,50.8,15.7,226,5200,MALE,8.27102,-26.11244,,59203
18.11.09,49.4,15.8,216,4925,MALE,8.03624,-26.06594,,1164322
18.11.09,46.9,14.6,222,4875,FEMALE,7.8881,-26.04726,,1058671
18.11.09,48.4,14.4,203,4625,FEMALE,8.16582,-26.13971,,1107916
18.11.09,51.1,16.5,225,5250,MALE,8.2066,-26.36863,,529047
22.11.09,48.5,15,219,4850,FEMALE,8.10231,-26.18763,,295928
22.11.09,55.9,17,228,5600,MALE,8.3118,-26.35425,,630802
18.11.09,47.2,15.5,215,4975,FEMALE,8.30817,-26.21651,,1146881
18.11.09,49.1,15,228,5500,MALE,8.65914,-25.79203,,1154236
01.12.09,47.3,13.8,216,4725,,8.25818,-26.23886,Sexing primers did not amplify.,980850
01.12.09,46.8,16.1,215,5500,MALE,8.32359,-26.05756,,1058510
10.11.09,41.7,14.7,210,4700,FEMALE,8.12311,-26.44815,,232630
10.11.09,53.4,15.8,219,5500,MALE,8.41017,-26.33867,,1191757
09.11.09,43.3,14,208,4575,FEMALE,8.4207,-26.38092,,609541
09.11.09,48.1,15.1,209,5500,MALE,8.45738,-26.22664,,697375
20.11.09,50.5,15.2,216,5000,FEMALE,8.24691,-26.18466,,114593
20.11.09,49.8,15.9,229,5950,MALE,8.29226,-26.21019,,351450
27.11.09,43.5,15.2,213,4650,FEMALE,8.21634,-26.11046,,190067
27.11.09,51.5,16.3,230,5500,MALE,8.78557,-25.76147,,591654
25.11.09,46.2,14.1,217,4375,FEMALE,8.30231,-25.96013,,598929
25.11.09,55.1,16,230,5850,MALE,8.08354,-26.18161,,443563
01.12.09,44.5,15.7,217,4875,,8.04111,-26.18444,Sexing primers did not amplify.,947604
01.12.09,48.8,16.2,222,6000,MALE,8.33825,-25.88547,,980631
01.12.09,47.2,13.7,214,4925,FEMALE,7.99184,-26.20538,Nest never observed with full clutch.,1142549
01.12.09,,,,,,,,Adult not sampled. Nest never observed with full clutch.,521106
22.11.09,46.8,14.3,215,4850,FEMALE,8.41151,-26.13832,,115038
22.11.09,50.4,15.7,222,5750,MALE,8.30166,-26.04117,,470093
22.11.09,45.2,14.8,212,5200,FEMALE,8.24246,-26.11969,,457868
22.11.09,49.9,16.1,213,5400,MALE,8.3639,-26.15531,,811125
19.11.07,46.5,17.9,192,3500,FEMALE,9.03935,-24.30229,Nest never observed with full clutch.,361849
19.11.07,50,19.5,196,3900,MALE,8.92069,-24.23592,Nest never observed with full clutch.,936775
26.11.07,51.3,19.2,193,3650,MALE,9.29078,-24.7557,,814536
26.11.07,45.4,18.7,188,3525,FEMALE,8.64701,-24.62717,,360568
21.11.07,52.7,19.8,197,3725,MALE,9.00642,-24.61867,,671410
21.11.07,45.2,17.8,198,3950,FEMALE,8.88942,-24.49433,,796940
28.11.07,46.1,18.2,178,3250,FEMALE,8.85664,-24.55644,,1154184
28.11.07,51.3,18.2,197,3750,MALE,8.63701,-24.84059,,11896
21.11.07,46,18.9,195,4150,FEMALE,8.47173,-24.29229,,447728
21.11.07,51.3,19.9,198,3700,MALE,8.79581,-24.36088,,496631
28.11.07,46.6,17.8,193,3800,FEMALE,8.95063,-24.59897,,354305
28.11.07,51.7,20.3,194,3775,MALE,8.68747,-24.38751,,1063196
26.11.07,47,17.3,185,3700,FEMALE,8.72037,-24.80526,,163605
26.11.07,52,18.1,201,4050,MALE,9.0233,-24.38933,,240460
22.11.07,45.9,17.1,190,3575,FEMALE,9.12277,-24.90024,,1089662
22.11.07,50.5,19.6,201,4050,MALE,9.8059,-24.7294,,664155
30.11.07,50.3,20,197,3300,MALE,10.02019,-24.54704,Nest never observed with full clutch.,81640
30.11.07,58,17.8,181,3700,FEMALE,9.14382,-24.57994,Nest never observed with full clutch.,13203
30.11.07,46.4,18.6,190,3450,FEMALE,9.32105,-24.64162,,729609
30.11.07,49.2,18.2,195,4400,MALE,9.27158,-24.64335,,323846
03.12.07,42.4,17.3,181,3600,FEMALE,9.35138,-24.6879,,528677
03.12.07,48.5,17.5,191,3400,MALE,9.42666,-24.26375,,1116504
28.11.07,43.2,16.6,187,2900,FEMALE,9.35416,-25.01185,Nest never observed with full clutch.,594269
28.11.07,50.6,19.4,193,3800,MALE,9.28153,-24.97134,Nest never observed with full clutch.,134579
28.11.07,46.7,17.9,195,3300,FEMALE,9.74144,-24.59467,Nest never observed with full clutch.,472873
28.11.07,52,19,197,4150,MALE,9.36799,-24.47142,Nest never observed with full clutch.,814261
25.11.08,50.5,18.4,200,3400,FEMALE,8.9399,-23.89017,Nest never observed with full clutch.,295840
25.11.08,49.5,19,200,3800,MALE,9.63074,-24.34684,Nest never observed with full clutch.,1027802
14.11.08,46.4,17.8,191,3700,FEMALE,9.37369,-24.52896,,218717
14.11.08,52.8,20,205,4550,MALE,9.25177,-24.69638,,202050
24.11.08,40.9,16.6,187,3200,FEMALE,9.08458,-24.54903,,410910
24.11.08,54.2,20.8,201,4300,MALE,9.49283,-24.59996,,1037111
24.11.08,42.5,16.7,187,3350,FEMALE,9.36668,-24.45195,,152681
24.11.08,51,18.8,203,4100,MALE,9.23196,-24.17282,,797843
25.11.08,49.7,18.6,195,3600,MALE,9.75486,-24.31198,,343117
25.11.08,47.5,16.8,199,3900,FEMALE,9.07825,-25.1455,,58319
14.11.08,47.6,18.3,195,3850,FEMALE,8.83502,-24.65859,,495711
14.11.08,52,20.7,210,4800,MALE,9.43146,-24.6844,,856766
24.11.08,46.9,16.6,192,2700,FEMALE,9.80589,-24.73735,Nest never observed with full clutch.,165565
24.11.08,53.5,19.9,205,4500,MALE,10.02544,-24.90816,Nest never observed with full clutch.,735109
24.11.08,49,19.5,210,3950,MALE,9.53262,-24.66867,,287437
24.11.08,46.2,17.5,187,3650,FEMALE,9.61734,-24.66188,,653791
14.11.08,50.9,19.1,196,3550,MALE,10.02372,-24.86594,,700636
14.11.08,45.5,17,196,3500,FEMALE,9.36493,-24.66259,,100407
17.11.09,50.9,17.9,196,3675,FEMALE,9.43684,-24.16566,,161327
17.11.09,50.8,18.5,201,4450,MALE,9.45827,-24.35575,,705587
27.11.09,50.1,17.9,190,3400,FEMALE,9.46819,-24.45721,,627013
27.11.09,49,19.6,212,4300,MALE,9.34089,-24.45189,,1137305
23.11.09,51.5,18.7,187,3250,MALE,9.6895,-24.43062,,807393
23.11.09,49.8,17.3,198,3675,FEMALE,9.32169,-24.41562,,320316
21.11.09,48.1,16.4,199,3325,FEMALE,9.46929,-24.48403,,830169
21.11.09,51.4,19,201,3950,MALE,9.43782,-24.36202,,836496
23.11.09,45.7,17.3,193,3600,FEMALE,9.415,-24.805,,591503
23.11.09,50.7,19.7,203,4050,MALE,9.93727,-24.59066,,729325
27.11.09,42.5,17.3,187,3350,FEMALE,9.56534,-24.60882,,1047672
27.11.09,52.2,18.8,197,3450,MALE,9.77528,-24.56481,,48657
21.11.09,45.2,16.6,191,3250,FEMALE,9.62357,-24.78984,,718752
21.11.09,49.3,19.9,203,4050,MALE,9.88809,-24.59513,,519315
21.11.09,50.2,18.8,202,3800,MALE,9.74492,-24.404,,32635
21.11.09,45.6,19.4,194,3525,FEMALE,9.46985,-24.65786,,1175336
27.11.09,51.9,19.5,206,3950,MALE,,-23.78767,No delta15N data received from lab.,218795
27.11.09,46.8,16.5,189,3650,FEMALE,9.65061,-24.48153,,365569
19.11.09,45.7,17,195,3650,FEMALE,9.26715,-24.31912,,87536
19.11.09,55.8,19.8,207,4000,MALE,9.70465,-24.53494,,763205
21.11.09,43.5,18.1,202,3400,FEMALE,9.37608,-24.40753,Nest never observed with full clutch.,765746
21.11.09,49.6,18.2,193,3775,MALE,9.4618,-24.70615,Nest never observed with full clutch.,915331
21.11.09,50.8,19,210,4100,MALE,9.98044,-24.68741,,656117
21.11.09,50.2,18.7,198,3775,FEMALE,9.39305,-24.25255,,405716
