Date Egg,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex,Delta 15 N (o/oo),Delta 13 C (o/oo),Comments,ID
11.11.08,39.6,17.2,196,3550,FEMALE,8.33524,-26.55351,,609273
11.11.08,45.8,18.9,197,4150,MALE,8.18658,-26.45978,,1164745
08.11.08,35.5,17.5,190,3700,FEMALE,8.70642,-26.15003,,913611
08.11.08,42.8,18.5,195,4250,MALE,8.2993,-26.38986,,677413
06.11.08,40.9,16.8,191,3700,FEMALE,8.47257,-26.02002,,884395
06.11.08,37.2,19.4,184,3900,MALE,8.3554,-26.44787,,650805
09.11.08,36.2,16.1,187,3550,FEMALE,7.82381,-26.51382,,591647
09.11.08,42.1,19.1,195,4000,MALE,9.05736,-25.81513,,1154003
02.11.08,34.6,17.2,189,3200,FEMALE,7.69778,-26.5387,,421112
02.11.08,42.9,17.6,196,4700,MALE,8.63259,-26.23027,,346014
07.11.08,36.7,18.8,187,3800,FEMALE,7.88494,-26.24837,,744956
07.11.08,35.1,19.4,193,4200,MALE,8.90002,-26.46254,,771087
17.11.08,37.3,17.8,191,3350,FEMALE,8.32718,-26.38396,,23685
17.11.08,41.3,20.3,194,3550,MALE,9.14863,-26.09635,,1135348
08.11.08,36.3,19.5,190,3800,MALE,8.57087,-26.22227,,54565
08.11.08,36.9,18.6,189,3500,FEMALE,8.59147,-26.08165,,862691
08.11.08,38.3,19.2,189,3950,MALE,9.07826,-26.12417,,1161879
08.11.08,38.9,18.8,190,3600,FEMALE,8.36936,-26.11199,,671866
14.11.08,35.7,18,202,3550,FEMALE,8.46531,-26.05621,,983401
14.11.08,41.1,18.1,205,4300,MALE,8.77018,-25.83352,,226070
05.11.08,34,17.1,185,3400,FEMALE,8.01485,-26.69543,,14023
05.11.08,39.6,18.1,186,4450,MALE,8.49915,-26.42406,,686672
17.11.08,36.2,17.3,187,3300,FEMALE,8.90723,-26.30037,,301489
17.11.08,40.8,18.9,208,4300,MALE,8.48204,-26.57941,,292467
08.11.08,38.1,18.6,190,3700,FEMALE,8.10277,-26.50086,,581465
08.11.08,40.3,18.5,196,4350,MALE,8.39459,-26.01152,,1099263
10.11.08,33.1,16.1,178,2900,FEMALE,9.04218,-26.15775,,290436
10.11.08,43.2,18.5,192,4100,MALE,8.97025,-26.03679,,364944
